1,2,24844.924
2,3,17578.516
4,5,17146.268
1,3,13428.675
4,6,13366.967
7,4,12522.602
4,8,11782.776
9,3,9223.273
10,3,8933.024
1,9,8579.799
11,3,8528.049
12,2,8009.398
13,9,7789.521
13,3,7710.311
12,3,7056.145
14,12,6914.273
15,3,6840.303
9,2,6303.857
12,9,6258.197
16,9,6047.664
17,18,5941.183
16,3,5905.704
19,3,5648.103
10,9,5381.639
12,20,5229.887
21,22,5034.199
1,23,5006.037
11,9,4951.553
12,23,4861.433
10,12,4808.594
24,3,4713.598
13,2,4689.718
1,25,4563.567
26,3,4551.612
27,3,4545.223
13,1,4382.601
28,3,4361.843
10,13,4340.755
3,29,4336.953
30,9,4267.813
31,32,4265.226
33,9,4246.834
34,12,4192.826
11,25,4103.909
9,35,4100.247
36,26,4019.233
1,37,3908.747
11,23,3889.877
30,3,3886.894
16,13,3847.033
38,3,3767.301
15,9,3720.705
19,2,3674.343
10,2,3656.813
16,2,3612.17
39,37,3601.731
13,19,3583.187
22,3,3520.451
27,9,3516.336
16,23,3467.669
13,23,3317.764
16,40,3289.286
41,37,3235.918
26,42,3187.918
10,15,3140.556
9,19,3085.293
43,26,3071.792
44,3,3047.287
45,3,3031.269
12,46,3028.898
47,12,2979.879
1,39,2923.093
35,3,2912.945
26,48,2882.048
49,3,2860.925
50,37,2856.98
14,3,2838.611
15,2,2820.938
22,13,2817.496
10,1,2772.604
37,2,2733.296
15,12,2718.43
51,26,2699.276
52,26,2687.77
53,10,2683.434
24,13,2664.55
54,3,2657.825
33,3,2657.422
55,26,2650.603
24,12,2644.03
56,3,2620.726
3,23,2619.884
41,1,2606.387
12,1,2601.488
21,26,2574.345
15,23,2566.878
44,42,2553.814
3,57,2524.309
44,26,2522.372
1,19,2520.331
11,13,2511.197
10,33,2492.984
3,58,2479.663
39,3,2474.319
37,3,2469.491
59,3,2445.559
24,16,2439.535
2,23,2436.881
16,19,2410.242
43,3,2395.214
60,26,2368.239
10,16,2318.562
16,26,2296.363
11,37,2295.507
54,2,2277.219
61,9,2274.276
15,62,2269.053
63,9,2262.279
24,2,2229.917
3,40,2223.336
22,26,2220.243
45,2,2217.152
47,3,2212.696
45,13,2206.492
12,64,2203.119
10,24,2202.117
65,66,2198.189
44,2,2187.551
67,12,2177.237
68,26,2169.138
16,1,2145.059
12,39,2139.525
50,1,2135.978
13,69,2135.279
41,3,2126.826
70,3,2120.917
22,16,2115.896
71,3,2109.241
72,58,2100.489
73,3,2097.308
61,3,2073.267
74,37,2072.462
75,3,2061.938
74,1,2056.891
76,13,2054.688
72,29,2053.871
11,39,2050.516
41,12,2035.259
42,3,2032.202
11,20,2027.131
77,3,2017.999
11,50,2009.889
53,3,2008.218
49,12,1992.808
78,26,1990.589
29,58,1985.259
79,26,1974.467
71,80,1968.151
26,81,1967.578
34,3,1947.315
82,66,1929.864
24,77,1927.331
11,41,1922.077
10,23,1921.602
45,69,1908.269
30,83,1903.846
20,1,1900.536
13,57,1885.704
84,9,1878.327
85,3,1877.614
11,12,1877.488
22,19,1872.766
24,9,1871.453
12,13,1870.836
86,3,1863.644
87,9,1863.281
30,1,1860.191
33,1,1855.78
61,19,1852.189
9,88,1844.681
89,13,1835.696
90,3,1827.867
44,9,1826.311
15,1,1819.127
91,20,1808.661
30,23,1792.386
27,37,1790.638
92,9,1788.543
93,12,1787.871
10,94,1784.361
95,26,1777.135
11,2,1772.479
96,54,1751.043
24,19,1749.353
73,93,1748.652
10,63,1743.752
36,42,1742.881
35,2,1737.571
86,97,1736.129
9,69,1726.294
53,12,1721.023
30,13,1714.915
98,26,1714.794
10,22,1703.404
1,69,1690.213
43,57,1688.111
45,12,1687.723
44,13,1679.189
99,42,1666.883
27,13,1662.975
100,3,1659.141
2,57,1651.369
13,54,1649.523
16,101,1643.656
102,26,1640.273
9,25,1630.216
10,11,1629.189
38,12,1629.033
74,3,1622.065
67,3,1621.513
59,13,1614.803
79,103,1610.809
33,2,1602.787
21,3,1601.616
43,81,1590.11
24,1,1584.819
10,85,1584.629
10,47,1576.827
104,3,1576.473
61,1,1575.304
44,16,1573.416
49,39,1570.125
36,43,1562.93
105,3,1562.603
69,3,1561.493
22,2,1548.804
11,74,1546.4
45,9,1535.7
61,2,1531.896
106,26,1531.273
14,107,1528.245
43,42,1521.34
37,66,1512.095
14,19,1510.412
108,109,1510.241
110,26,1507.837
45,1,1503.347
