1,2,0.752
3,4,0.655
1,5,0.649
6,7,0.634
3,8,0.632
4,9,0.621
10,2,0.62
4,11,0.614
4,2,0.61
12,4,0.609
13,2,0.605
4,14,0.599
1,15,0.599
16,4,0.594
6,8,0.591
17,4,0.572
18,4,0.569
4,19,0.564
4,20,0.56
21,4,0.56
12,2,0.557
4,22,0.556
4,23,0.556
24,2,0.555
4,25,0.555
1,10,0.554
6,26,0.554
6,24,0.553
4,27,0.553
6,3,0.553
4,28,0.552
4,29,0.552
4,30,0.548
4,31,0.548
4,32,0.545
4,33,0.543
5,2,0.543
34,4,0.542
35,4,0.541
4,36,0.541
6,37,0.536
4,38,0.534
4,39,0.534
4,40,0.531
4,41,0.527
16,8,0.525
14,2,0.522
42,4,0.52
37,7,0.519
4,8,0.518
43,4,0.515
1,13,0.515
44,45,0.513
46,4,0.511
4,47,0.511
16,3,0.511
18,2,0.51
1,44,0.509
11,2,0.508
4,48,0.508
4,49,0.507
50,4,0.507
4,51,0.506
52,4,0.503
4,53,0.503
10,5,0.498
1,54,0.497
1,12,0.494
6,55,0.494
4,56,0.492
6,57,0.49
6,58,0.49
59,4,0.489
21,2,0.489
1,9,0.488
4,60,0.488
10,57,0.488
25,2,0.488
4,61,0.486
4,62,0.486
63,2,0.485
1,11,0.484
23,2,0.484
5,13,0.483
15,2,0.481
10,44,0.481
10,13,0.481
22,2,0.481
1,58,0.48
1,14,0.478
6,11,0.476
64,1,0.476
4,65,0.474
34,2,0.474
36,2,0.47
1,53,0.47
66,2,0.469
4,67,0.468
6,68,0.467
69,2,0.462
64,4,0.461
46,2,0.461
4,70,0.461
2,61,0.459
71,2,0.458
72,4,0.458
39,2,0.458
21,57,0.457
4,73,0.457
6,21,0.455
2,38,0.454
6,53,0.454
1,21,0.453
74,1,0.452
4,66,0.45
75,2,0.45
1,20,0.449
4,76,0.449
4,77,0.449
11,8,0.447
6,22,0.447
6,23,0.447
4,78,0.445
6,79,0.444
11,57,0.443
1,25,0.442
6,80,0.442
6,25,0.442
1,22,0.44
1,65,0.439
18,6,0.438
81,2,0.438
2,82,0.438
1,23,0.438
6,83,0.437
6,71,0.437
6,36,0.436
1,32,0.436
6,65,0.436
3,5,0.435
5,15,0.435
6,61,0.435
84,2,0.434
4,85,0.434
3,11,0.433
4,24,0.432
6,46,0.432
12,8,0.432
4,86,0.432
6,87,0.43
1,69,0.43
6,39,0.43
1,30,0.43
4,88,0.429
3,12,0.429
1,37,0.429
1,52,0.428
13,44,0.428
8,41,0.428
1,39,0.427
1,89,0.427
85,2,0.427
6,38,0.427
36,57,0.427
1,55,0.427
1,90,0.426
1,29,0.425
1,91,0.424
1,36,0.424
5,4,0.423
4,69,0.423
3,2,0.423
6,92,0.423
1,19,0.422
6,66,0.422
1,27,0.422
6,14,0.419
1,47,0.419
1,48,0.419
23,57,0.418
1,93,0.418
1,94,0.418
18,57,0.417
12,57,0.417
6,45,0.416
1,95,0.416
1,38,0.416
57,38,0.415
4,96,0.415
5,8,0.415
1,46,0.415
1,97,0.414
74,57,0.414
6,12,0.413
1,98,0.413
8,14,0.412
57,77,0.412
4,99,0.412
1,80,0.412
39,57,0.412
53,2,0.412
1,100,0.411
1,61,0.411
58,8,0.41
1,101,0.41
4,102,0.41
1,103,0.41
4,80,0.409
104,4,0.409
58,57,0.409
1,105,0.409
4,55,0.408
1,106,0.408
1,107,0.407
1,108,0.407
1,109,0.406
1,110,0.406
1,24,0.405
4,111,0.405
112,2,0.403
2,40,0.403
6,113,0.402
3,14,0.4
64,2,0.4
24,7,0.4
114,4,0.399
3,58,0.399
1,43,0.398
1,115,0.398
4,107,0.398
4,116,0.397
66,57,0.396
8,23,0.395
20,57,0.394
4,117,0.394
25,57,0.393
118,8,0.392
26,7,0.392
8,20,0.392
37,119,0.391
3,53,0.39
1,87,0.389
37,57,0.388
13,57,0.388
26,37,0.388
58,44,0.388
6,85,0.388
11,44,0.388
1,120,0.387
1,121,0.387
40,45,0.387
8,7,0.387
3,57,0.387
1,50,0.386
10,15,0.386
1,122,0.386
4,123,0.386
57,61,0.386
21,8,0.385
8,53,0.385
4,124,0.385
14,57,0.385
66,44,0.384
53,44,0.384
10,4,0.383
24,44,0.383
16,7,0.383
4,125,0.382
1,4,0.382
8,67,0.381
10,45,0.381
3,118,0.38
20,2,0.379
3,67,0.379
4,13,0.379
5,11,0.379
5,9,0.378
4,68,0.377
8,2,0.377
116,2,0.376
8,102,0.376
74,6,0.375
55,57,0.374
6,126,0.374
30,57,0.374
3,20,0.374
4,127,0.374
23,44,0.373
3,41,0.373
24,37,0.371
4,7,0.371
3,21,0.37
46,57,0.37
6,128,0.37
4,45,0.37
8,32,0.37
1,85,0.369
4,57,0.369
6,34,0.368
6,49,0.368
8,25,0.368
24,8,0.367
18,44,0.367
3,23,0.366
6,129,0.366
4,97,0.366
8,57,0.365
8,100,0.365
6,130,0.365
6,67,0.364
13,63,0.364
65,2,0.364
1,76,0.364
3,131,0.364
8,30,0.364
60,2,0.364
21,44,0.363
2,44,0.363
6,98,0.362
3,102,0.362
98,57,0.362
58,7,0.362
98,132,0.362
4,132,0.362
57,7,0.361
6,20,0.361
18,1,0.36
8,55,0.358
53,57,0.358
80,8,0.358
133,3,0.358
69,44,0.358
133,8,0.357
134,4,0.357
4,112,0.357
3,7,0.357
8,9,0.356
18,8,0.356
34,57,0.356
5,125,0.356
57,82,0.355
3,25,0.355
1,135,0.355
29,8,0.355
3,55,0.355
52,57,0.355
12,5,0.355
5,14,0.354
16,136,0.353
137,2,0.353
18,3,0.352
10,11,0.351
36,8,0.35
8,22,0.35
3,9,0.35
24,45,0.349
14,44,0.349
2,79,0.349
6,40,0.349
4,130,0.349
11,15,0.349
37,14,0.349
13,15,0.349
4,82,0.348
2,41,0.348
3,29,0.348
138,44,0.348
52,44,0.348
3,100,0.348
36,44,0.348
10,12,0.348
8,68,0.348
14,15,0.347
5,7,0.347
12,15,0.347
16,118,0.347
132,109,0.347
44,61,0.347
6,32,0.346
3,48,0.346
8,48,0.346
3,32,0.346
121,2,0.346
6,41,0.345
11,7,0.345
6,73,0.345
16,41,0.345
39,44,0.345
10,14,0.344
5,53,0.344
1,66,0.344
6,132,0.344
6,111,0.344
5,54,0.343
6,139,0.343
11,13,0.343
57,2,0.342
3,30,0.342
63,57,0.342
80,57,0.342
58,5,0.342
3,80,0.342
64,8,0.341
8,61,0.341
58,37,0.341
30,44,0.34
10,63,0.34
4,100,0.34
1,17,0.34
3,24,0.34
4,106,0.339
1,140,0.339
35,8,0.339
134,8,0.339
10,7,0.338
14,7,0.338
3,68,0.338
11,132,0.338
141,1,0.337
16,2,0.337
4,90,0.337
74,44,0.337
119,7,0.336
8,39,0.336
142,2,0.336
4,143,0.336
1,71,0.335
57,67,0.335
6,144,0.335
1,145,0.334
3,15,0.334
69,57,0.334
1,146,0.334
3,22,0.334
8,131,0.334
53,15,0.334
71,44,0.334
8,82,0.334
6,69,0.333
4,79,0.333
5,142,0.333
12,13,0.332
5,63,0.332
6,102,0.332
16,11,0.332
8,38,0.332
3,36,0.332
8,27,0.331
58,15,0.331
42,2,0.331
21,132,0.331
8,76,0.331
7,45,0.331
6,2,0.331
3,39,0.331
12,44,0.331
20,7,0.331
5,33,0.331
16,37,0.33
38,44,0.329
21,7,0.329
4,110,0.328
37,41,0.328
3,46,0.328
64,6,0.327
136,8,0.327
99,2,0.327
17,8,0.327
8,110,0.327
132,77,0.327
23,15,0.326
1,147,0.326
3,136,0.326
8,101,0.325
13,14,0.325
19,8,0.324
3,76,0.323
37,20,0.323
3,27,0.322
33,45,0.322
16,12,0.322
4,148,0.322
3,38,0.321
1,149,0.321
10,24,0.321
74,3,0.32
7,41,0.32
132,82,0.32
20,44,0.32
1,123,0.32
46,8,0.319
2,97,0.319
150,4,0.319
4,151,0.319
42,44,0.319
6,1,0.319
4,152,0.319
16,58,0.319
65,8,0.318
58,45,0.318
1,77,0.318
37,67,0.318
7,67,0.318
4,44,0.318
21,37,0.317
64,44,0.317
1,153,0.317
68,57,0.317
21,15,0.317
16,53,0.316
1,70,0.316
20,15,0.316
8,63,0.316
63,44,0.316
1,31,0.316
154,44,0.315
4,92,0.315
30,2,0.315
23,7,0.315
57,32,0.315
10,23,0.315
3,65,0.315
1,155,0.314
16,68,0.314
1,156,0.314
4,37,0.313
3,17,0.313
136,7,0.313
3,110,0.312
25,44,0.312
53,45,0.311
128,57,0.311
1,157,0.311
113,37,0.311
74,5,0.311
5,55,0.31
30,7,0.31
3,82,0.31
133,16,0.31
57,126,0.31
57,44,0.309
10,75,0.309
22,7,0.309
10,21,0.309
12,45,0.309
8,15,0.309
7,61,0.309
80,7,0.309
1,130,0.309
158,8,0.308
74,8,0.308
4,121,0.308
3,158,0.308
6,17,0.307
1,159,0.307
25,7,0.307
132,38,0.307
37,61,0.307
3,101,0.306
98,4,0.306
5,21,0.306
18,7,0.306
54,2,0.305
5,69,0.305
5,68,0.305
89,44,0.304
18,10,0.304
6,119,0.304
26,45,0.304
16,76,0.304
68,37,0.304
13,82,0.303
16,55,0.303
16,14,0.303
74,4,0.303
55,37,0.303
160,44,0.303
64,5,0.303
5,23,0.303
5,22,0.302
13,25,0.302
5,25,0.302
6,44,0.302
5,30,0.301
55,2,0.301
128,44,0.301
150,2,0.301
125,8,0.301
52,5,0.301
10,69,0.3
16,131,0.3
22,37,0.3
11,37,0.3
18,13,0.3
160,57,0.3
1,8,0.3
1,78,0.3
68,7,0.3
1,161,0.299
6,77,0.299
64,15,0.299
52,2,0.299
5,162,0.299
2,67,0.299
25,15,0.299
36,7,0.299
64,3,0.299
15,61,0.298
3,63,0.298
154,45,0.298
5,44,0.298
7,32,0.298
1,163,0.297
14,45,0.297
39,7,0.297
98,8,0.297
5,48,0.297
21,45,0.296
1,3,0.296
5,29,0.296
66,45,0.296
29,57,0.296
98,44,0.296
3,73,0.296
37,79,0.296
10,25,0.295
11,45,0.295
5,164,0.295
10,66,0.295
46,132,0.295
46,44,0.294
3,35,0.294
13,75,0.293
36,37,0.293
160,45,0.293
5,32,0.293
13,22,0.293
3,61,0.293
69,45,0.293
36,15,0.293
134,3,0.293
5,95,0.292
37,23,0.292
37,39,0.292
80,37,0.292
